wrestler_id,shikona_en,shikona_jp,sumodb_id,nsk_id,current_rank,heya,birth_date,shusshin,height_cm,weight_kg,debut,jsa_profile_url
102,Tomokaze,友風　想大,12427,3818,Juryo 2 West,Nakamura,1994-12-02T00:00:00Z,"Kanagawa-ken, Kawasaki-shi, Kawasaki-ku",183.0,168.0,201705,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3818/
111,Hitoshi,日翔志　英忠,12704,4095,Juryo 6 East,Oitekaze,1997-08-14T00:00:00Z,"Tokyo-to, Tachikawa-shi",181.0,139.0,202105,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4095/
112,Kotoeiho,琴栄峰　央起,12729,4120,Maegashira 17 West,Sadogatake,2003-07-08T00:00:00Z,"Chiba-ken, Kashiwa-shi",184.0,140.0,202201,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4120/
117,Nabatame,生田目(なばため),12597,3988,Sandanme 3 West,Futagoyama,2002-02-22T00:00:00Z,"Tochigi-ken, Sakura-shi",176.9,168.0,202001,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3988/
134,Shiden,紫雷(しでん),12141,3532,Makushita 21 East,Kise,1991-12-24T00:00:00Z,"Tokyo-to, Machida-shi",177.0,154.0,201403,https://www.sumo.or.jp/EnSumoDataRikishi/profile/3532/
142,Kayo,嘉陽　快宗,12774,4165,Juryo 6 West,Nakamura,1999-07-14T00:00:00Z,"Chiba-ken, Ichikawa-shi - Okinawa-ken, Naha-shi",171.0,174.0,202205,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4165/
164,Asakoryu,朝紅龍　琢馬,12710,4101,Maegashira 12 East,Takasago,1998-09-24T00:00:00Z,"Osaka-fu, Shijonawate-shi",178.0,123.0,202105,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4101/
195,Wakanosho,若ノ勝　栄道,12730,4121,Juryo 3 West,Tokiwayama,2003-08-22T00:00:00Z,"Tochigi-ken, Utsunomiya-shi",177.0,139.0,202201,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4121/
378,Daiseizan,大青山　大介,12725,4116,Juryo 3 East,Arashio,2000-05-22T00:00:00Z,"China, Inner Mongolia",192.0,164.0,202111,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4116/
607,Asahakuryu,朝白龍　太郎,12784,4175,Maegashira 16 East,Takasago,1999-01-08T00:00:00Z,"Mongolia, Ulaanbaatar",182.0,145.0,202211,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4175/
615,Fujinokawa,藤ノ川　成剛,12800,4191,Maegashira 2 East,Isenoumi,2005-02-22T00:00:00Z,"Tokyo-to, Edogawa-ku - Kyoto-fu, Kyoto-shi, Nishikyo-ku",175.0,109.0,202301,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4191/
8850,Onosato,大の里　泰輝,12836,4227,Yokozuna 1 West,Nishonoseki,2000-06-07T00:00:00Z,"Ishikawa-ken, Kahoku-gun, Tsubata-machi",192.0,183.0,202305,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4227/
8853,Onokatsu,阿武剋　一弘,12840,4231,Maegashira 6 West,Onomatsu,2000-05-05T00:00:00Z,"Mongolia, Uvs",185.0,163.0,202309,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4231/
8854,Aonishiki,安青錦　新大,12839,4230,Ozeki 1 East,Ajigawa,2004-03-23T00:00:00Z,"Ukraine, Vinnytsia Oblast",182.0,136.0,202307,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4230/
8856,Mita,三田(みた),12898,4289,Makushita 41 West,Futagoyama,2001-12-13T00:00:00Z,"Tochigi-ken, Otawara-shi",172.0,125.0,202409,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4289/
8857,Yoshinofuji,義ノ富士　直哉,12884,4279,Maegashira 1 West,Isegahama,2001-06-25T00:00:00Z,"Kumamoto-ken, Uto-shi",184.0,150.0,202405,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4279/
8859,Asasuiryu,朝翠龍　涼馬,12894,4285,Juryo 2 East,Takasago,2000-08-09T00:00:00Z,"Osaka-fu, Shijonawate-shi",172.0,113.0,202407,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4285/
9051,Fujiryoga,藤凌駕　雅治,12945,4336,Maegashira 17 East,Fujishima,2003-02-26T15:00:00Z,Aichi,180.0,181.0,202503,https://www.sumo.or.jp/EnSumoDataRikishi/profile/4336/
